definition,answer,occurrences,example_clue,approve
dull patch discerned,LONGUEUR,1,Dull patch discerned by lone guru,
dummy: balls getting weaved,ANGORAWOOL,1,"Own goal, or a dummy: balls getting weaved?",
dunce,IGNORAMUS,1,Dunce is amusing or unruly,
during modernisation,UPDATING,1,A dung pit removed during modernisation,
dust,PULVERISE,1,Repulsive scheme to turn to dust,
dutch,HERINDOORS,1,Dutch in Rhodes (or abroad),
dye,SAFFRON,1,Dye used for fans,
dye trade,DRYSALTER,1,Sly trader could be involved in dye trade,
earliest garden,DISOBEDIENCE,1,Nasty ice on side bed – problem in the earliest garden?,
early morning call having gone,RISE AND SHINE,1,"Early morning call having gone off, she ran inside",
early music,DAWNCHORUS,1,Early music - such row and discord,
early performance,REHEARSAL,1,Cast her as Lear in early performance,
early stage,INFANTHOOD,1,Sketchy info to hand? It's early stage,
early stage reached,EMBRYO,1,Early stage reached by more dancing,
early stages,EMBRYONIC,1,Novel by incomer in its early stages,
earn money illicitly,HUSTLE,1,Sleuth resolved to earn money illicitly,
earnest,SEDATE,1,Earnest doctor teased,
earth,UPSTAIRS,1,Possibly puts on airs - not down to earth,
earth-moving kit,DIBBER,1,Criminal bribed with earth-moving kit,
earth's heat,GEOTHERMIC,1,The rig has come loose from the earth's heat,
ease,PLASTICITY,1,It’s typical to reform with ease?,
easier,LUBRICANT,1,Running club train - it makes running easier,
eastern cape,TRANSKEI,1,Ian treks out to part of the Eastern Cape,
easy target,LOW-HANGING FRUIT,1,"Unfailing growth, somehow an easy target",
eat,BUBBLE AND SQUEAK,1,"Organising a UK BBQ: sunbed, ale, something to eat",
eaten,COMESTIBLE,1,"Becomes lit, cooked and can be eaten",
eating behaviour,DIETETIC,1,Confuse it with deceit about eating behaviour,
eating establishment,GASTROPUB,1,"Running tab, group's in this eating establishment",
ecclesiastic,ARCHIMANDRITE,1,Chairman tried to convert Greek ecclesiastic,
echoing intemperate,REPETITION,1,Echoing intemperate petitioner,
economically-challenging periods,RECESSIONS,1,Crises one's resolved in economically-challenging periods,
economy,THIRD CLASS,1,Child stars travelling economy,
edentate,ANTBEAR,1,Banter with a twisted edentate,
edges,MARGINALLY,1,Alarmingly frayed at the edges,
editor,EMENDATOR,1,Editor: “Not remade edited!”,
editor,IANHISLOP,1,Editor in a Polish novel,
editor getting,IANHISLOP,1,Editor getting in a mess translating Polish,
educational establishment,FAITHSCHOOL,1,Foolish chat about educational establishment,
educational programme,INFOTAINMENT,1,Mention fat in complex educational programme?,
effect within 24 hours,INSTANTER,1,Transient effect within 24 hours,
efficien,SYSTEMATIC,1,City's teams struggling to be efficien,
eg articles,PARTSOFSPEECH,1,Eg articles a perfect shop's displayed,
eg mae west,LIFE SAVER,1,Eg Mae West rival's fee outrageous,
egg-laying mammals,ECHIDNAS,1,Egg-laying mammals had since evolved,
ego,NARCISSISM,1,Man's crisis misrepresented as problem with ego,
egocentric,ITSELF,1,"Is felt, perhaps, to be  egocentric?",
egyptian region,SINAI,1,Egyptian region is in a mess,
eight,OCTAVES,1,Avocets flying in formations of eight,
elderly,SEPTUAGENARIAN,1,Elderly person exercising parentage in USA,
elderly,SENIORMOMENTS,1,"In men's room, set out failings of the elderly",
elderly,BLUERINSE,1,Elderly preparation from spray of nebuliser,
electrical component,THERMOCOUPLE,1,Computer designed with hole for electrical component,
electricity supplier,ALTERNATOR,1,Lone Tartar disrupted electricity supplier,
electrolytic cell,CATHODE,1,Do teach about part of an electrolytic  cell,
electronic current technology,STATEOFTHEART,1,Foretaste that has development around electronic current tec,
electronic unit,TETRODE,1,Electronic unit to deter corruption,
elevated player,SOLOIST,1,High stool is for an elevated player,
elgar,NIMROD,1,D minor composition by Elgar,
elizabeth,THE VIRGIN QUEEN,1,Groom never quite nigh for Elizabeth,
ellington's,SOLITUDE,1,"Ellington's jazzy diet, soul",
elliptical,GNOMIC,1,Coming out elliptical,
elucidate,MAKETHINGSCLEAR,1,Elucidate muddle in the marking scale,
embarrassing manner,STUPIDLY,1,"Performing duty, slip in an embarrassing manner",
embezzler,PECULATOR,1,Embezzler to clear up mess,
embryonic attachment,YOLKSAC,1,"Embryonic attachment forming lock, say",
emergency telephone's located,HOTLINE,1,"Emergency telephone's located in ""The Lion""",
emetic,IPECAC,1,Melting icecap used as an emetic,
emojis,SMILEYS,1,Emojis messily replaced,
emotional,VISCERAL,1,Emotional arrangement for claviers,
emotionless,STONEFACED,1,Emotionless descent of a drunk,
emphasising sleekness,ARTDECO,1,Redcoat improvised style emphasising sleekness?,
employing cells,ELECTROCHEMICAL,1,"Employing cells with cell, hot ice cream melts",
empty bucket,SLOPOUT,1,Empty bucket put with loos after an accident?,
emulating thatcher,DENATIONALISING,1,Emulating Thatcher in breaking Anglo-Indian ties,
enamelled pots,GRANITEWARE,1,Gear mixed with water in enamelled pots,
enchantment,DISENTHRAL,1,"Tatty tinsel, hard to free from enchantment",
encouragement,NEVERFEAR,1,Encouragement sets raven free,
encumbrance,WHEELCLAMP,1,Calm help we required to move this encumbrance,
endless,PERSISTENT,1,Endless presents … it needs to change,
enemies variously,US AND THEM,1,Enemies variously named thus,
energetic,ON THE GO,1,"Energetic Goth, one rocking",
energy-saving steps,ESCALATOR,1,Energy-saving steps involve a real cost,
engage too many,OVERSTAFF,1,Vast offer made to engage too many,
engagement,DETACH,1,The cad is about to break off the engagement,
engaging,ENTERTAINING,1,Engaging gear in intent to travel,
english figurehead scrapped,SAINTGEORGE,1,English figurehead scrapped segregation,
engraver,CHASER,1,Search ordered by an engraver,
enjoy consuming,BONAPPETIT,1,Enjoy consuming strange Tibetan pop,
enlightening,INFORMATIONAL,1,Enlightening but no not familiar unfortunately,
enlightening,EDUCATIONAL,1,Exercising caution with deal could be enlightening,
enlisted soldiers,SQUADDIES,1,Dad uses IQ to thrash enlisted soldiers,
enlivened,MARIACHIBAND,1,Musicians from China barmaid enlivened,
enormous bite,ALLIGATOR,1,"Gorilla at play, that has an enormous bite",
enquirer,SLEUTH,1,Hustle curious enquirer,
enraged,AROUSED,1,Enraged maybe by diabolical road use,
enter,RETURN KEY,1,Enter UK – re-entry free?,
enter tube gnashing,CATHETERISE,1,Enter tube gnashing teeth with caries,
enter workplace,APPRENTICESHIPS,1,"I, perhaps, inspect alternative ways to enter workplace",
entered forcibly,IRRUPTED,1,It purred furiously and entered forcibly,
entering,REFORMISM,1,Movement for change: simmer mixture for entering,
entertainers,ARTISTES,1,Star ties knots for entertainers,
entertainment,VIDEONASTY,1,Votes in day out for dubious entertainment,
enthrone,INSTATE,1,Enthrone in rumpled satinet,
enthusiastic singer,BELTER,1,Enthusiastic singer quivering treble,
entrance,HYPNOTISE,1,Entrance concealed by this peony,
entree,ADMITTANCE,1,"Maiden, with tact, ordered entree",
entrenched,INGRAINED,1,Trouble in Reading is entrenched,
entry point,DOORSTEP,1,Entry point of pod store reconstructed,
enzyme found,AMYLASE,1,"Enzyme found in cooked meal, say",
epic,LE MORTE D'ARTHUR,1,Epic moves to halt murderer,
equal size,ISOMETRIC,1,"Woven in coir, items of equal size",
equivalent valuation,TANTAMOUNT,1,Boiled mutton at an equivalent valuation,
era,NINETIES,1,Era Einstein transformed,
erection,LEANTO,1,Erection faltering of late? No,
essayist,MONTAIGNE,1,Enigma not puzzling essayist,
essential,OBLIGATORY,1,A girly boot design is essential,
essential,NONVITAL,1,Anvil not used - it's not essential,
essential accompaniment,OBBLIGATO,1,Essential accompaniment moved Gobbi a lot,
essential accompaniments,OBLIGATI,1,"With balti, I go bananas creating essential accompaniments",
established origins,INSTIGATED,1,Amended site dating and established origins,
establishes one's position,ORIENTS,1,Establishes one's position in store after reorganisation,
establishment,MILK BAR,1,Outrageous IBM lark shakes establishment,
establishment figure,ORDINEE,1,"De Niro, 'e might become an Establishment figure",
esteeming,VENERATING,1,Esteeming eg a vintner in fantastic form,
eternal youth,AGELESSNESS,1,Modification of lasses' genes producing eternal youth,
europe,MACEDONIA,1,A comedian rocked part of Europe,
europe,THEBALKANS,1,"With thanks, able to be part of Europe",
europhile,INTEGRATIONIST,1,"Europhile, perhaps, is tottering in a shambles",
eurydice's husband,ORPHEUS,1,Eurydice's husband composed her opus,
evacuation,CATHARSIS,1,Evacuation chairs sat abandoned,
even up,STRAIGHTEN,1,Even up things with rate distribution,
evening air,SERENADE,1,Bats need ears for the evening air,
event,CLOSING-DOWN SALE,1,Event allowing seconds to be flogged?,
event,SKELETON,1,Kent lose badly in sporting event,
event,MISCHANCE,1,Fluid mechanics causing unfortunate event,
event,CHEESEROLLING,1,Maybe he'll recognise curious event,
event,GLENCOEMASSACRE,1,Destruction of Mac's clan - see gore in this event?,
event where seats available,GENERALELECTION,1,"All energetic, one dancing in event where seats available?",
evergreens,MYRTLES,1,"Evergreens — if failing, try elms",
everlasting,INFINITELOOP,1,"Activated in potion, life that’s everlasting!",
every available method,BY ALL MEANS,1,Many labels changed using every available method,
every character,ALPHABETIC,1,Place in a mess with habit of every character,
every point considered,ONALLCOUNTS,1,"Consult with loan to be negotiated, every point considered",
every six months,SEMESTRAL,1,"Every six months or less, a term that's flexible",
everybody,TOMDICKANDHARRY,1,Random dirty hack affected everybody,
everybody's lips,TALKOFTHETOWN,1,Folk that stray — not we — could be on everybody's lips,
everyone's,ALLTHERAGE,1,Everyone's doing it to make earth legal,
everything,ALLTHESAME,1,Suspect tame as hell in spite of everything,
everything ready,ALLSYSTEMSGO,1,Everything ready to forge glossy metals,
evil practitioner,MISUSER,1,Serum is tampered with for evil practitioner,
evil spirits plagued,DAIMONS,1,Evil spirits plagued Madison,
evil wolf,LADYSMAN,1,Slay damn evil wolf,
evolutionary theory,NEO-DARWINISM,1,Reform I saw in modern evolutionary theory,
evolve,GENERATE,1,Teenager goes off to evolve,
exactly,SWEATSHIRT,1,Wears t-this loosely? Exactly!,
exam result,UNGRADED,1,Possible anger with dud exam result?,
examination,INSPECTING,1,"Doctor isn't nice, with GP doing an examination",
examination involving litmus paper,ACIDTEST,1,Dictates new chemistry examination involving litmus paper,
examines,ANALYSES,1,Examines seals - any broken?,
examining,ANATOMY,1,Examining body to many a doctor,
exceedingly,NOT HALF,1,Exceedingly hot flan demolished,
excellence,TREMENDOUS,1,Doctor mentored us with excellence,
excess,REMAINDER,1,Excess denim – rare – fancy!,
excessive,WASTEFUL,1,Excessive faults we corrected,
excessively,HYPERKINETIC,1,Ink they ordered with price moving excessively,
excessively depressive,NEUROTIC,1,"I recount suffering, becoming excessively depressive",
excessively rich,OVERABUNDANT,1,Excessively rich nut a brave don demolished,
exclusions,DEBARMENTS,1,Brent's made peculiar exclusions,
exclusive diners,INSECTIVORES,1,Change to services in exclusive diners,
execution,DISCHARGE,1,Doctor hid Grace's execution,
executioners effect,HEADSMEN,1,Executioners effect end with shame,
exert pressure,HUSTLE,1,Exert pressure on sleuth somehow,
ex-football,ATKINSON,1,Ex-football manager in on task for rebuilding,
exhausted,WEAKENED,1,End a week off exhausted,
exhibits small attention span,GRASSHOPPER MIND,1,"Dropping arms, she strangely exhibits small attention span",
existing quality,ALIVENESS,1,Existing quality in a vessel at sea,
exorbitant,UNREASONABLE,1,Exorbitant lease on urban complex,
expected,PRESUMPTIVE,1,"US rep met VIP abroad, as expected",
experience,WISDOM,1,Do swim at sea to have the experience,
experience horse-power,SIDESADDLE,1,Diesel adds different way to experience horse-power,
experienced performer,OLDSTAGER,1,Lord gets a treatment from experienced performer,
experimental facilities,SCIENCEPARK,1,Snack recipe concocted in experimental facilities,
expert needed,SPECIALIST,1,Iciest Alps to be dealt with? Expert needed,
expert practitioner,MAESTRO,1,Some art slammed by this expert practitioner?,
expert ruler takes,TECHNOCRAT,1,Expert ruler takes off trench coat,
expert there,OCEANOGRAPHER,1,Rope and anchorage at sea for expert there,
expertise,TRADESECRET,2,Detects rare fusion of special expertise,
experts,TECHNOCRATS,1,He contracts redevelopment experts,
experts,VIRTUOSI,1,Experts visit our assembly,
explains,SHEDS LIGHT ON,1,Sloshed night rum explains,
explanations,RATIONALES,1,Unhinged senatorial explanations,
exploit others’,GETINONTHEACT,1,Exploit others’ work transforming ancient ghetto,
exposed position,ROOFTOP,1,Exposed position of troop destroyed,
exposer,VENTILATOR,1,Exposer of vagrant in love with tart,
exposes geological feature,SANANDREASFAULT,1,"Unexpected turn, as a sand flea exposes geological feature",
exposition's rather hot introduction,BAPTISMOFFIRE,1,"""Bitmaps for IFE"" exposition's rather hot introduction",
expressed,NEOLOGISM,1,Some lingo newly expressed,
expressing democracy,ALTERNATIVEVOTE,1,Enter Tel Aviv to a new way of expressing democracy,
expressionless,UNDEMONSTRATIVE,1,A muted inventor’s represented as expressionless,
ex-professor,EMERITUS,1,Ex-professor rues time wasted,
expulsion,OUSTING,1,Expulsion got us in trouble,
ex-soldiers,BRITISHLEGION,1,This biro Nigel designed for ex-soldiers,
extends risky commitment,DOUBLESDOWN,1,Wounded slob stupidly extends risky commitment,
extra,ACCRETION,1,Extra part for nice actor in play?,
extra bit,OUTGROWTH,1,Extra bit of plant mutated in Trough Two,
extra coverage,BELTANDBRACES,1,Bizarre BBC rant sealed extra coverage,
extracted,DEOXYGENATE,1,O gee! Next day possibly the gas is to be extracted,
extractor,OILPRESS,1,Extractor rendered lips sore,
extravagant,ASPERSION,1,Extravagant praises? No!,
extremely,STONYBROKE,1,Extremely poor rent boys OK to work,
extremely dark,SWARTHIEST,1,Extremely dark sweatshirt worn,
extremely frilly,LACIEST,1,Extremely frilly elastic pants,
extremely radical,AHEAD OF ONE'S TIME,1,Meat in seafood he cooked is extremely radical,
extremis,LASTGASP,1,Glass apt to shatter in extremis,
extremist,FANATICAL,1,Extremist is crushed in a final act,
exuberance,JAUNTINESS,1,Just insane excited exuberance,
eye complaint,NEAR-SIGHTEDNESS,1,NHS residents age after surgery for eye complaint,
eyesore,GASOMETER,1,Most agree it could be a useless eyesore,
f) perception supplying,SIXTHSENSE,1,(f) perception supplying Essex with hints,
fabric,SLIPPERSATIN,1,I persist with plan to rip fabric,
fabulous being,SALAMANDER,1,"Fabulous being man, lads are fantastic",
fabulous writer,LAFONTAINE,1,A final note about a fabulous writer,
facial,AFTERSHAVE,1,Facial treatment to save the RAF,
facing early light,EASTWARDS,1,Facing early light daters saw spread around,
facing forward,AFFRONTE,1,"Facing forward, but often far removed",
facing repercussions,INHOTWATER,1,Facing repercussions won't air the broadcast,
factory,HANDCRAFTED,1,"Fancy end with hard fact, not out of factory",
factory shutdowns,CLOSURES,1,Factory shutdowns designed to cure loss,
fads,ISMS,1,Miss newfangled fads,
faithful friend,ACHATES,1,He's a cat that's turned out to be a faithful friend,
faithfully,DEVOUTLY,1,Faithfully combining love and duty,
faithfulness,CONSTANCY,1,Faithfulness of surprisingly canny Scot,
fallen angel's,LUCIFER,1,Fallen angel's striking if cruel,
falling,EBBING,1,Falling off Big Ben,
familiar,WELLACQUAINTED,1,A clan quite lewd with characters disposed to be familiar,
family members,DAUGHTERS,1,"In trouble, guards the family members",
famous,INTHESPOTLIGHT,1,Unusually lithe thing opts to become famous,
famous,PLATO,1,Famous Greek plot - a disaster,
famous neapolitan,ENRICOCARUSO,1,Famous Neapolitan or Corsican involved with EU,
famous symphony,PASTORAL,1,"Famous symphony, also part variation",
fancied filly gets,GIRLFRIEND,1,Fancied filly gets to fling rider off. . .,
fancied welsh girl,GWYNETH,1,Why gent fancied Welsh girl,
